id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
19525,KCNO,small_airport,Chino Airport,33.97470093,-117.637001,650,NA,US,US-CA,Chino,no,KCNO,CNO,CNO
19527,KCNU,medium_airport,Chanute Martin Johnson Airport,37.66880035,-95.48509979,1002,NA,US,US-KS,Chanute,no,KCNU,CNU,CNU
19528,KCNW,small_airport,TSTC Waco Airport,31.63780022,-97.07409668,470,NA,US,US-TX,Waco,no,KCNW,CNW,CNW
19529,KCNY,small_airport,Canyonlands Field,38.75500107,-109.7549973,4557,NA,US,US-UT,Moab,no,KCNY,CNY,CNY
19530,KCOD,medium_airport,Yellowstone Regional Airport,44.52019882,-109.0240021,5102,NA,US,US-WY,Cody,no,KCOD,COD,COD
19531,KCOE,medium_airport,Coeur D'Alene - Pappy Boyington Field,47.77429962,-116.8199997,2320,NA,US,US-ID,Coeur d'Alene,no,KCOE,COE,COE
3462,KCOF,medium_airport,Patrick Air Force Base,28.23489952,-80.61009979,8,NA,US,US-FL,Cocoa Beach,no,KCOF,COF,COF
19532,KCOI,small_airport,Merritt Island Airport,28.34160042,-80.6855011,6,NA,US,US-FL,Merritt Island,no,KCOI,COI,COI
19533,KCOM,small_airport,Coleman Municipal Airport,31.84110069,-99.4036026,1697,NA,US,US-TX,Coleman,no,KCOM,COM,COM
19534,KCON,medium_airport,Concord Municipal Airport,43.20270157,-71.50229645,342,NA,US,US-NH,Concord,no,KCON,CON,CON
3463,KCOS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,NA,US,US-CO,Colorado Springs,yes,KCOS,COS,COS
19536,KCOT,small_airport,Cotulla-La Salle County Airport,28.45669937,-99.22029877,474,NA,US,US-TX,Cotulla,no,KCOT,COT,COT
3464,KCOU,medium_airport,Columbia Regional Airport,38.81809998,-92.21959686,889,NA,US,US-MO,Columbia,yes,KCOU,COU,COU
348516,KCPF,medium_airport,Wendell H Ford Airport,-7.194841667,111.5481667,1256,NA,US,US-KY,Hazard,no,KCPF,CPF,CPF
19539,KCPM,small_airport,Compton Woodley Airport,33.88999939,-118.2440033,97,NA,US,US-CA,Compton,no,KCPM,CPM,CPM
3465,KCPR,medium_airport,Casper-Natrona County International Airport,42.908001,-106.463997,5350,NA,US,US-WY,Casper,yes,KCPR,CPR,CPR
